timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
2.3323,175.2,161.4,0.97,0.11
2.3423,145.9,160.7,2.92,0.23
2.3524,199.1,162.3,3.99,0.12
2.3624,155.3,162.0,1.83,0.19
2.3724,130.1,160.7,4.87,0.3
2.3824,192.5,162.0,3.3,0.1
2.3924,146.0,161.4,2.79,0.21
2.4024,222.6,163.8,7.04,0.23
2.4124,224.3,166.2,6.82,0.21
2.4224,220.6,168.4,5.95,0.18
2.4324,166.3,168.3,1.33,0.17
2.4424,131.1,166.8,5.65,0.33
2.4525,222.5,169.1,6.22,0.19
2.4625,172.6,169.2,0.57,0.14
2.4725,226.6,171.5,6.37,0.18
2.4825,226.3,173.7,5.96,0.16
2.4925,215.3,175.3,4.22,0.11
2.5025,159.4,174.7,3.13,0.25
2.5125,168.5,174.5,1.83,0.2
2.5225,215.0,176.1,4.2,0.12
2.5325,161.5,175.5,2.84,0.23
2.5425,146.7,174.3,4.53,0.29
2.5526,185.3,174.8,0.66,0.11
2.5626,223.0,176.7,5.32,0.16
2.5726,198.8,177.6,1.97,0.09
2.5826,186.0,177.9,0.39,0.12
2.5926,138.5,176.4,5.8,0.33
2.6026,190.0,176.9,1.05,0.1
2.6126,227.1,178.9,5.65,0.17
2.6226,141.8,177.4,5.45,0.31
2.6326,179.3,177.5,0.46,0.13
2.6426,214.8,179.0,4.08,0.13
2.6527,200.7,179.9,2.07,0.09
2.6627,195.9,180.5,1.35,0.1
2.6727,195.9,181.1,1.28,0.1
2.6827,161.1,180.3,3.22,0.23
2.6927,154.0,179.3,3.92,0.25
2.7027,205.1,180.3,2.74,0.1
2.7127,204.6,181.3,2.51,0.09
2.7227,209.7,182.4,3.0,0.1
2.7327,213.7,183.7,3.32,0.11
2.7427,172.8,183.2,2.05,0.18
2.7528,171.2,182.7,2.13,0.18
2.7628,200.2,183.4,1.66,0.09
2.7728,184.6,183.5,0.46,0.13
2.7828,189.1,183.7,0.27,0.11
2.7928,197.8,184.3,1.27,0.1
2.8028,206.4,185.2,2.27,0.1
2.8128,150.4,183.8,4.93,0.28
2.8228,153.4,182.6,4.26,0.24
2.8328,124.4,180.2,7.65,0.37
2.8428,172.0,179.9,1.21,0.13
2.8529,117.0,177.4,8.05,0.38
2.8629,159.1,176.7,2.29,0.15
2.8729,165.9,176.2,1.29,0.12
2.8829,139.4,174.8,4.54,0.23
2.8929,169.0,174.5,0.58,0.11
2.9029,112.1,172.0,7.67,0.34
2.9129,111.8,169.6,7.24,0.32
2.9229,189.5,170.4,2.96,0.16
2.9329,142.3,169.3,3.16,0.17
2.9429,118.1,167.2,6.01,0.26
